rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
251,0x1e7792acc779a6af8304bd7991ff31d16d468c33,watch,0.5700,492,0.1370,0.2400,0.1200,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
251,0xd202bf6d89dc6bab1b9f00ead175f75466348973,watch,0.3700,462,-0.2641,0.2200,0.1100,0.1500,1,0,"borderline score 0.37; spreads usually wide"
251,0xfc2f4f50ce2f6045d35558a5e2d8d4b2ac6610c7,watch,0.7600,500,0.2651,0.7200,0.3600,0.1500,1,0,"global score 0.76 above threshold 0.5, copyable"
252,0xab6a7da501eb0f53ab56f758e7c399f9249a2978,watch,0.5300,500,-0.0233,0.9000,0.4500,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
253,0xc1b4bfdc36eaa5c09e7231c61e5e44c5463f624f,watch,0.5800,362,0.0994,0.4400,0.2200,0.1500,1,0,"global score 0.58 above threshold 0.5, copyable"
253,0xf7f0b0b1e9c0fe02ccad926916ee31aef74b912c,watch,0.5400,356,0.0480,0.5600,0.2800,0.1500,1,0,"global score 0.54 above threshold 0.5, copyable"
254,0x1f9e15f39bbd5d163b0eacf0fbef647ced9e4f1a,watch,0.1500,7,0.1359,0.1400,0.0700,0.1500,1,0,"weak score 0.15; spreads usually wide; profit concentrated in one trade"
254,0xf418d3a1a941292f9c8707d62a14980c5beb95a3,watch,0.5300,431,0.0265,0.5000,0.2500,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
255,0x9412cdfc1e3171e1aabb013d0f494986445d0cd0,watch,0.4700,493,-0.0824,0.3500,0.1700,0.1500,1,0,"borderline score 0.47; no copyability concerns detected"
256,0x1cc16713196d456f86fa9c7387dd326a7f73b8df,watch,0.4000,307,-0.0446,0.0600,0.0300,0.1500,1,0,"borderline score 0.4; spreads usually wide"
256,0xec981ed70ae69c5cbcac08c1ba063e734f6bafcd,watch,0.5400,499,0.0674,0.4500,0.2300,0.1500,1,0,"global score 0.54 above threshold 0.5, copyable"
